Formation,Supergroup/Association,Group,Subgroup,Member,Region,Max age,Max age std,Max age name,Min age,Min age std,Min age name,Depositional age,Depositional age std,Depositional age name,Older sections,Co-eval sections,Younger sections,Older formations (not enforced),Younger formations (not enforced),Formation included in d13C database?,Includes samples included in d13C database?,Age constrained by d13C inference?,Classification (MIF or MDF),Stratigraphic order (within formation),Stratigraphic order (within basin),Isotope data references,Age references,Notes,Max. posterior age (median),Max. posterior age (97.5%),Min. posterior age (median),Min. posterior age (2.5%),Max. posterior age - co-eval (median),Max. posterior age - co-eval (97.5%),Min. posterior age - co-eval (median),Min. posterior age - co-eval (2.5%)
Mooidraai Formation,Transvaal Supergroup - Griqualand West,Postmasburg Group,Voelwater Subgroup,,South Africa,,,,,,,2392,11.5,Mooidraai Formation carbonates,,"Postmasburg Group Composite, Postmasburg Group Composite - Guo et al. 2009",,,,TRUE,TRUE,TRUE,MDF,,7,Guo et al. 2009,Fairey et al. (2013),,,,,,2405.042844,2417.132414,2375.539935,2359.355037
Koegas Subgroup,Transvaal Supergroup - Griqualand West,Ghaap Group,Koegas Subgroup,,South Africa,2451.5,1.25,Heynskop DZ,2426,1.5,Ongeluk,,,," Campbellrand Subgroup Composite - Guo et al. 2009, BH1-Sacha, ADP-GKF01, ADP-GKP01",,"Postmasburg Group Composite, Postmasburg Group Composite - Guo et al. 2009",,,TRUE,FALSE,TRUE,MIF,,6,Johnson et al. 2013,"Gumsley et al. 2017, Senger et al. 2023","Koegas Subgroup is bracketed by the underlying Campbellrand Subgroup and overlying Postmasburg Group sections, and partly co-eval with samples from the Rooinekke Formation. Maximum and minimum age constraints are from Senger et al. (2023) (Heynskop Formation, detrital) and Gumsley et al. (2017) (Ongeluk lava crystallization age). ",2523.941887,2539.767291,2405.042844,2393.983505,,,,
Kuruman Iron Formation,Transvaal Supergroup - Griqualand West,Ghaap Group,Asbestos Hills Subgroup,,South Africa,2521,1.5,Gamohaan Tuff,2428,2,,2460,2.5,Kuruman Tuff,BH1-Sacha,"ADP-GKF01, ADP-GKP01",,,Koegas Subgroup,TRUE,FALSE,TRUE,MIF,,5,"Ono et al. 2009b,
Kaufman et al. 2007","Gumsley et al. 2017, Sumner and Bowring 1996, Pickard 2003",,2523.941887,2539.767291,,,,,,
Campbellrand Subgroup,Transvaal Supergroup - Griqualand West,Ghaap Group,Campbellrand Subgroup,,South Africa,2602,7,Monteville tuff,2460,2.5,Kuruman Tuff,,,,,"ADP-GKP01, ADP-GKF01, BH1-Sacha",,,,TRUE,TRUE,TRUE,MIF,,4,"Guo et al. 2009,
Domagal-Goldman et al. 2008, Farquhar et al. 2000, Kamber and Whitehouse 2007, Kaufman et al. 2007, Papineau et al. 2005, Gallagher et al. 2017, Zerkle et al. 2012,
Ono et al. 2009b, Izon et al. 2015, Farquhar et al. 2013","Gutzmer and Beukes 1998, Pickard 2003",,,,,,2617.700295,2629.430158,2523.941887,2519.58379
Lokammona Formation,Transvaal Supergroup - Griqualand West,Ghaap Group,Schmidtsdrif Subgroup,,South Africa,,,,,,,2650,4,Lokammona Tuff,,"Campbellrand Subgroup Composite - Guo et al. 2009, BH1-Sacha, ADP-GKF01, ADP-GKP01",,Boomplaas Formation,,TRUE,FALSE,TRUE,MIF,,3,"Fischer et al. 2014, Hu et al. 2003, Zerkle et al. 2012,
Ono et al. 2009b",Gutzmer and Beukes (1998),,,,,,2637.839281,2648.527156,2636.756455,2623.906266
Boomplaas Formation,Transvaal Supergroup - Griqualand West,Ghaap Group,Schmidtsdrif Subgroup,,South Africa,2669,2.5,Vryburg Tuff,2650,4,Lokammona Tuff,,,,,"Boomplaas - Guo et al. (2009), ADP-GKP01, ADP-GKF01, BH1-Sacha",,Vryburg Formation,Lokammona Formation,TRUE,TRUE,TRUE,MIF,,2,"Guo et al. 2009, Zerkle et al. 2012, Ono et al. 2009b",Gutzmer and Beukes 1998,,,,,,2641.848493,2657.287169,2638.409436,2625.176981
Vryburg Formation,Transvaal Supergroup - Griqualand West,Ghaap Group,Schmidtsrif Subgroup,,South Africa,,,,,,,2669,2.5,Vryburg Tuff,,ADP-GKP01,"BH1-Sacha, Boomplaas - Guo et al. (2009), ADP-GKF01",,,TRUE,FALSE,TRUE,MIF,,1,Ono et al. 2009b,Gutzmer and Beukes (1998),,,,2641.848493,2627.078061,,,,
Sengoma Argillite Formation,Transvaal Supergroup - Bushveld Basin,,,,South Africa,2224,10.5,Hekpoort Tuff,2054.89,0.185,RLS,,,,,Sengoma Argillite Formation,,,,TRUE,FALSE,TRUE,MDF,,1,Scott et al. 2014,"Dorland 2004 (ref. in Schröder et al. 2016), Zeh et al. 2015","Maximum age constraint is from the Hekpoort Lava in the Transvaal basin, which is correlative to the Ditlojana Volcanic Formation in the Bushveld basin. ",,,,,,,,
Kazput Formation,Pilbara Craton,Turee Creek Group,,,Western Australia,2312.7,2.8,Meteorite Bore Member,2208,5,Turee Creek Sill,,,,"Horseshoe Creek, Duck Creek Syncline,
Mt. Wall",Turee Creek Composite,,Kungarra Formation,,TRUE,FALSE,TRUE,MIF,,12,"Philippot et al. 2018, Killingsworth et al. 2019","Philippot et al. 2018, Mueller et al. 2005","Studied samples are from the lower Kazput Formation.

 Persistence of MIF-S in this interval has been interpretedas the result of sedimentary recycling (i.e., the crustal memory effect), and likely does not reflect atmospheric oxygen levels (see discussion in Philippot et al. 2018, Uveges et al. 2023). ",,,,,2274.917009,2308.26015,2232.889896,2206.608088
Kungarra Formation,Pilbara Craton,Turee Creek Group,,Meteorite Bore Member,Western Australia,2340,11,,2208,5,Turee Creek Sill,2312.7,2.8,Meteorite Bore Member,,Turee Creek Composite,"K1, K2A, K2A2, K2B+K2C, Hardey Syncline, Turee Creek Syncline",Boolgeeda Iron Formation,Kazput Formation,FALSE,FALSE,TRUE,MIF,,11,"Williford et al. 2011, Philippot et al. 2018","Philippot et al. 2018, Mueller et al. 2005, Caquineau et al. 2018","Turee Creek Composite section contains samples from both above and below the MBM; link to age of this horizon. 

Persistence of MIF-S in this interval has been interpretedas the result of sedimentary recycling (i.e., the crustal memory effect), and likely does not reflect atmospheric oxygen levels.",2337.601461,2413.263,2281.615873,2217.209598,,,,
Kungarra Formation,Pilbara Craton,Turee Creek Group,,Below MBM,Western Australia,2450,1.5,Woongarra Rhyolite,2312.7,2.8,Meteorite Bore Member,,,,,"Turee Creek Composite, Horseshoe Creek
Duck Creek Syncline, Mt. Wall","K1, K2A, K2A2, K2B+K2C, Hardey Syncline, Turee Creek Syncline",Boolgeeda Iron Formation,Meteorite Bore Member,TRUE,FALSE,TRUE,MIF,,10,"Williford et al. 2011, Philippot et al. 2018","Philippot et al. 2018, Mueller et al. 2005, Caquineau et al. 2018","Samples from drill core T2 are from a ~100 meter thick siliclastic unit with minor carbonates directly beneath the MBM (the overlying basal MBM date is from this core). Exact position relative to d13C data is unclear (compare stratigraphic columns; either roughly co-eval with or younger than carbonate samples underlying the MBM). 

Samples from drill core T1 are from the lowermost 30 m of the Kungarra Formation. 

Persistence of MIF-S in this interval has been interpretedas the result of sedimentary recycling (i.e., the crustal memory effect), and likely does not reflect atmospheric oxygen levels.",,,,,2409.543538,2446.121761,2337.601461,2314.307207
Boolgeeda Iron Formation,Pilbara Craton,Hamersley Group,,,Western Australia,2450,1.5,Woongarra Rhyolite,2312.7,2.8,Meteorite Bore Member,,,,"DDH86WRL1, FVD1A, FVG-1, DDH88BG5, RHDH2A",,"Horseshoe Creek, Duck Creek Syncline, Mt. Wall, Turee Creek Composite",,,FALSE,FALSE,FALSE,MIF with restricted MDF,,9,"Swanner et al. 2013, Philippot et al. 2018",,"Philippot et al. (2018) interprets persistence of MIF in this interval as a consequence of the crustal memory effect, arguing that stratigraphically restricted occurrences of MDF reflect atmospheric oxygenation. ",2554.778938,2579.219681,2409.543538,2342.618672,,,,
Brockman Iron Formation,Pilbara Craton,Hamersley Group,,Whaleback Shale Member,Western Australia,2470,2,,2459,1.5,,2463,2.5,,"DDH86WRL1, FVD1A, FVG-1, DDH88BG5, RHDH2A",,,,,FALSE,FALSE,FALSE,MDF with restricted MIF,,8,"Farquhar et al. 2000, Partridge et al. 2008","Nelson et al. 1999, Trendall et al 1990, Pickard 2002","Depositional age for the Whaleback Shale Member is cited in Nelson et al. (1999). Maximum age is a depositional age for the underlying Dales Gorge Member (Trendall et al. 1990); minimum age is a depositional age for the base of the overlying Joffre Member (Pickard 2002). All ages referenced in Pickard (2002).  

While the data show MDF (zero to minor anomalies), the finding that occurrences of MDF in the underlying Mount McRae Shale reflect secondary processes (Slotznick et al. 2022) rather than atmospheric photochemistry suggests that MDF in this interval should be interpreted cautiously. ",2554.778938,2579.219681,,,,,,
Brockman Iron Formation,Pilbara Craton,Hamersley Group,,Dales Gorge Member,Western Australia,2483,3.5,,2463,2.5,,2470,2,,"DDH86WRL1, FVD1A, FVG-1, DDH88BG5, RHDH2A",,,,,FALSE,FALSE,FALSE,MIF,,7,"Farquhar et al. 2000, Mojzsis et al. 2003, Partridge et al. 2008","Slotznick et al. 2022, Nelson et al 1999, Trendall et al. 1990",Depositional age from Trendall et al. (1990); minimum age is a depositional age for the overlying Whaleback Shale Member (Nelson et al. 1999). All ages referenced in Pickard (2002).  ,2554.778938,2579.219681,,,,,,
Mount McRae Shale,Pilbara Craton,Hamersley Group,,,Western Australia,2533,3,Mount McRae Shale - Slotznick et al. 2022,2483,3.5,,,,,"DDH86WRL1, FVD1A, FVG-1, DDH88BG5, RHDH2A",,,,,FALSE,FALSE,FALSE,MIF,,6,"Kaufman et al. 2007, Ono et al. 2003,
Partridge et al. 2008, Gregory et al. 2015, Slotznick et al. 2022",Slotznick et al. 2022,"Minimum age is a depositional age for the stratigraphically higher Dales Gorge Member of the Brockman Iron Formation (Trendallet al. 1990; ref. in Pickard 2002).

Data from Slotznick et al. 2022 indicate that previously reported evidence of oxygenation in this interval (e.g., Kaufman et al. 2007) is the result of post-depositional processes, not atmospheric oxygenation. 

Using tuff ages from Slotznick et al. 2022, which bracket most of the formation (dated samples are separate by ~65-70 meters, and total formation thickness is ~85 meters). ",2554.778938,2579.219681,,,,,,
Wittenoom Formation,Pilbara Craton,Hamersley Group,,Bee Gorge Member,Western Australia,2597,2.5,Marra Mamba Iron,2533,3,Mount McRae Shale - Slotznick et al. 2022,,,,FVD1A,,,Paraburdoo Member,Mount McRae Shale,FALSE,FALSE,TRUE,MIF,,5,Gregory et al. 2015,"Slotznick et al. 2022, Trendall et al. 1998","In the d13C database, high-priority section is through the Paraburdoo Member; position of other low-priority Wittenoom Formation sections is uncertain (unclear if the Bee Gorge Member is represented). ",2569.605534,2589.521917,,,,,,
Carawine Dolomite,Pilbara Craton,Hamersley Group,,,Western Australia,2630,3,Carawine Dolomite,2533,3,Mount McRae Shale - Slotznick et al. 2022,2630,3,Carawine Dolomite,,"RHDH2A, DDH88BG5",,Marra Mamba Iron Formation,,TRUE,FALSE,TRUE,MIF,,4,Ono et al. 2003,"Slotznick et al. 2022, Rasmussen et al. (2005)","Depositional age is used as a maximum age for the Carawine Dolomite in the d13C database because the stratigraphic relationship between the dated horizon and the sections are known; here, using as a depositional age because the relationship is not known, and the formation is outside the interval of interest. Note disagreement with younger depositional age for the underlying Marra Mamba Formation.",,,,,2603.862586,2630.208088,2554.961794,2533.125949
Wittenoom Formation,Pilbara Craton,Hamersley Group,,Paraburdoo Member,Western Australia,2597,2.5,Marra Mamba Iron,2561,4,Bee Gorge,,,,,FVD1A,,Marra Mamba Iron Formation,Bee Gorge Member,TRUE,FALSE,TRUE,MIF,,4,Gregory et al. 2015,Trendall et al. 1998,,,,,,2589.631636,2599.210923,2569.605534,2556.400608
Marra Mamba Iron Formation,Pilbara Craton,Hamersley Group,,,Western Australia,2629,2.5,,2630,3,Carawine Dolomite,2597,2.5,Marra Mamba Iron,,,"DDH86WRL1, FVD1A, FVG-1, DDH88BG5, RHDH2A",,Carawine Dolomite,FALSE,FALSE,FALSE,MIF,,3,Partridge et al. 2008,"Trendall et al. 2004, Trendall et al. 1998",Must be older than overlying Wittenoom/Carawine Dolomite sections; note stratigraphic disagreement with older depostional age for the Carawine Dolomite. Maximum age is from the stratigraphically lower Jeerinah Formation. ,,,2603.862586,2577.722922,,,,
Jeerinah  Formation,Pilbara Craton,Fortescue Group,,,Western Australia,,,,2629,2.5,,2684,3,,,,"DDH86WRL1, FVD1A, FVG-1, DDH88BG5, RHDH2A",,,FALSE,FALSE,FALSE,MIF,,2,"Gregory et al. 2015,
Domagal-Goldman et al. 2008,
Farquhar et al. 2000, Ono et al. 2003","Arndt et al. 2007, Trendall et al. 2004","At the top of the Fortescue Group, which is older than the Hamersley Group (Wittenoom/Carawine Dolomite) sections. Depositional age for volcaniclastic rocks is from Arndt et al. (2007). Minimum age is for tuffs from the uppermost Jeerinah Formation (Trendall et al. 2004), which were ""collected from within 1.0 and 0.2 m of the contact with the overlying Marra Mamba Iron Formation"" (Rasmussen et al. 2005). ",,,2603.862586,2577.722922,,,,
Kylena Formation,Pilbara Craton,Fortescue Group,,,Western Australia,,,,,,,2741,1.5,,,,,,,FALSE,FALSE,FALSE,MIF,,1,Farquhar et al. 2007,Blake et al. 2004,Depositional age from Blake et al. (2004) (U-Pb zircon lava age) ,,,,,,,,
Rantamaa Formation,Peräpohja Schist Belt,Kivalo Group,,,Finland,2106,4,Hirsimaa,2050,4,Vaystaja,,,,,"Kalkkimaa Quarry, Louepalo Quarry, Rantamaa Quarry, Rantamaa Formation -  Sulfur",,,,TRUE,FALSE,TRUE,MDF,,2,Papineau et al. 2005,"Karhu et al. 2007, Perttunen & Vaasjoki 2001",,,,,,2099.307347,2110.623645,2058.524553,2047.497638
Sompujärvi Formation,Peräpohja Schist Belt,,,,Finland,2433,2,Elijärvi granite,2250,15,Runkaus,,,,,Lower Kivalo Group,,,,TRUE,FALSE,TRUE,MDF,,1,Papineau et al. 2005,"Perttunen & Vaasjoki 2001, Huhma et al. 1990",,,,,,2304.530208,2385.701617,2304.530208,2244.75267
Zaonega Formation,Onega Basin,Ludikovi Group,,,Russia,1975.3,1.4,Jangozero,1969,9,Suisari,,,,"4699, FAR-DEEP_11A, RG, SN, 5177, OPHC","12B_Crne2014, 13A_Crne2014, OnZap, FAR-DEEP_12AB, FAR-DEEP_13A, OPHC",,Tulomozero Formation,,TRUE,FALSE,TRUE,MDF,,2,Scott et al. 2014,"Puchtel et al. 1999, Martin et al. 2015",,1968.246083,1976.18885,,,1972.022404,1976.850076,1969.703702,1954.332915
Tulomozero Formation,Onega Basin,Jatuli Group,,,Russia,1975.3,1.4,Jangozero,1969,9,Suisari,,,,,"OPHC, 4699 ","12B_Crne2014, 13A_Crne2014, OnZap, FAR-DEEP_12AB, FAR-DEEP_13A, OPHC",,Zaonega Formation,TRUE,TRUE,TRUE,MDF,,1,Blättler et al. 2018,"Puchtel et al. 1999, Martin et al. 2015, Ovchinnikova et al. 2007",Note: not linking to 5177 because not known whether each sample belongs to the Zaonega or Tulomozero Formation. ,,,1973.803079,1966.454197,1974.474578,1977.699381,1969.647314,1953.460217
Anshan Group,North China Craton,,,,China,2574,6.5,,2527,1.5,,,,,,,"Dashiqiao Formation, Liaohe Group",,,FALSE,FALSE,FALSE,MIF,,1,Hou et al. 2007,Guo et al. 2017,Samples from different formations in the Anshan Group have been grouped using the overall minimum/maximum age for the succession. Note that subset of samples with D33S near 0 are interepreted as containing magma-derived (rather than atmosphere-derived) sulfur. ,,,,,,,,
Batatal Formation,Minas Supergroup,Caraça Group,,,Brazil,2580,7,Moeda DZ,2420,9.5,Gandarela Formation carbonate,,,,,,"Gandarela - Bemil Quarry, Gandarela - Lagoa Seca Quarry, Minas Supergroup",,,TRUE,TRUE,TRUE,MIF,,1,Zhelezinskaia et al. 2014,"Babinski et al. 1995, Hartmann et al. 2006 ",Check min/max ages for Caraca Group MIF-S occurrence in Hodgskiss compilation. Also look at primary sources -- some values seem transitional ,,,,,,,,
Trommald Formation,Marquette Range Supergroup,North Range Group,,,USA,1982,2.5,Bremen Creek Granite Gneiss,1878.3,3,,,,,"BM-1, A-6, 18224",,,Mahnomen Formation,,FALSE,FALSE,FALSE,MDF,,3,Johnston et al. 2006,"Fralick et al. 2002, Goldich & Fischer 1986","Age is for the Gunflint Formation, which is correlative with the Trommald Formation (no direct age constraints available). Reported age includes decay constant uncertainty (error is +/-1.3 Ma). Maximum is an intrusive age from the underlying Mille Lacs Group, which is separated from the North Range Group my a major unconformity; maximum age is also constrained by superposition with underlying sections. ",2015.789084,2031.363987,,,,,,
Mahnomen Formation,Marquette Range Supergroup,North Range Group,,,USA,1982,2.5,Bremen Creek Granite Gneiss,1878.3,3,,,,,"BM-1, A-6, 18224",,,,Trommald Formation,FALSE,FALSE,FALSE,MDF,,2,Johnston et al. 2006,"Fralick et al. 2002, Goldich & Fischer 1986","Age is for the Gunflint Formation, which is correlative with the overlying Trommald Formation (no direct age constraints available). Reported age includes decay constant uncertainty (error is +/-1.3 Ma). Maximum is an intrusive age from the underlying Mille Lacs Group, which is separated from the North Range Group my a major unconformity; maximum age is also constrained by superposition with underlying sections. ",2015.789084,2031.363987,,,,,,
Kona Dolomite,Marquette Range Supergroup,Chocolay Group,,,USA,2317,3,Enchantment Lake DZ,2174,4.5,Wewe Slate,,,,,"Kona Dolomite, Kona Dolomite - Planavsky et al. (2012)",,,,TRUE,FALSE,TRUE,MDF,,1,Johnston et al. 2005,"Rasmussen et al. 2024, Vallini et al. 2006",,,,,,2293.764217,2316.363937,2221.134199,2174.397882
Mcheka Formation,Magondi Supergroup,Lomagundi Group,,,Zimbabwe,,,,,,,2150,50,Mcheka Formation carbonates,,Mcheka,,Norah Formation,,TRUE,FALSE,TRUE,MDF,,2,Crockford et al. 2019,Schidlowski & Todt 1998,,,,,,,,,
Norah Formation,Magondi Supergroup,Deweras Group,,,Zimbabwe,2216,11,Deweras DZ,2150,50,Mcheka Formation carbonates,,,,,,Mcheka,,Mcheka Formation,FALSE,FALSE,TRUE,MDF,,1,Crockford et al. 2019,"Schidlowski & Todt 1998, Sawada et al. 2019",,,,,,,,,
