section,continent,country,group,supergroup/association,site,unit,shared?,name,intermediate detrital?,intermediate intrusive?,depositional?,height,depth,depth_adj,age,age_std,constraint type (with respect to section age),method,material,Reference,Include in sedimentation rate calculations?,Exclude?,notes
ADP-GKF01,Africa,South Africa,Ghaap Group,Transvaal Supergroup,,Monteville Formation,FALSE,Monteville Tuff,FALSE,FALSE,TRUE,,,,2602,7,max,U-Pb SHRIMP,tuff zircons,Gutzmer and Beukes (1998),N,FALSE,"Tuff in the Monteville Formation. Note that report acknowledges discrepancy with age for (likely) the same tuff layer from Altermann and Nelson (1998), which was reported as 2555 +/- 19 Ma. However, this age is not particularly reliable (calculated from 2 zircons; 14 zircons in sample grouped into 4 different age groups, with 2 older groups interpreted as inherited zircons and 1 younger group interpreted as Pb loss).

No analytical details available: ""Tuff TR-1, sampled just north of Goudkop High near Douglas, represents a tuff bed in
the Monteville Formation, at the base ofthe platform facies of the Campbellrand Subgroup. This tuff sample was processed and analysed by Dr. R. Armstrong. Unfortunately, no detailed petrographic or analytical data other than the final interpretation are available currently for this sample."""
ADP-GKF01,Africa,South Africa,Ghaap Group,Transvaal Supergroup,,Gamohaan Formation (Campbellrand Subgroup),TRUE,Gamohaan Tuff,FALSE,FALSE,FALSE,,225,,2521,1.5,depositional/min for Gamohaan and below,U-Pb ID-TIMS,tuff zircons,Sumner and Bowring (1996),N,FALSE,"Ash within the Gamohaan Formation. Dated sample is volcanic ash-rich zone (airfall tuffs that accumulated subaqueously). 40-50 meters from top of Gamohaan Formation (described as being in upper part of formation); therefore, using as minimum age for the Gamohaan Formation and underlying units. "
ADP-GKF01,Africa,South Africa,Ghaap Group,Transvaal Supergroup,,Kuruman Iron Formation,TRUE,Kuruman Tuff,FALSE,FALSE,FALSE,,182,,2460,2.5,min,U-Pb SIMS,tuffaceous mudrock,Pickard (2003),N,FALSE,"Tuff from the upper Kuruman Formation (age interpreted as syn-depositional), which is directly above the Gamohaan Formation (top of section). "
ADP-GKP01,Africa,South Africa,Ghaap Group,Transvaal Supergroup,,Vryburg Formation,TRUE,Vryburg Tuff,FALSE,FALSE,FALSE,,1237,,2669,2.5,max,U-Pb SHRIMP,tuff zircons,Gutzmer and Beukes (1998),N,FALSE,The Vryburg Formation is at the base of Transvaal Supergroup (and directly below the Boomplaas Formation); dated sample was collected from 40 meters above the base of the Vryburg Formation. 
ADP-GKP01,Africa,South Africa,Ghaap Group,,,Lokammona Formation,FALSE,Lokammona Tuff,FALSE,FALSE,TRUE,,,,2650,4,depositional,U-Pb SHRIMP,tuff zircons,Gutzmer and Beukes (1998),N,FALSE,Depositional age for the Lokammona Formation; stratigraphic position of tuff with respect to samples within the Lokammona Formation is not constrained.
ADP-GKP01,Africa,South Africa,Ghaap Group,Transvaal Supergroup,,Monteville Formation,FALSE,Monteville Tuff,FALSE,FALSE,TRUE,,,,2602,7,max,U-Pb SHRIMP,tuff zircons,Gutzmer and Beukes (1998),N,FALSE,"Tuff in the Monteville Formation. Note that report acknowledges discrepancy with age for (likely) the same tuff layer from Altermann and Nelson (1998), which was reported as 2555 +/- 19 Ma. However, this age is not particularly reliable (calculated from 2 zircons; 14 zircons in sample grouped into 4 different age groups, with 2 older groups interpreted as inherited zircons and 1 younger group interpreted as Pb loss).

No analytical details available: ""Tuff TR-1, sampled just north of Goudkop High near Douglas, represents a tuff bed in
the Monteville Formation, at the base ofthe platform facies of the Campbellrand Subgroup. This tuff sample was processed and analysed by Dr. R. Armstrong. Unfortunately, no detailed petrographic or analytical data other than the final interpretation are available currently for this sample."""
ADP-GKP01,Africa,South Africa,Ghaap Group,Transvaal Supergroup,,Gamohaan Formation (Campbellrand Subgroup),TRUE,Gamohaan Tuff,FALSE,FALSE,FALSE,,225,,2521,1.5,depositional/min for Gamohaan and below,U-Pb ID-TIMS,tuff zircons,Sumner and Bowring (1996),N,FALSE,"Ash within the Gamohaan Formation. Dated sample is volcanic ash-rich zone (airfall tuffs that accumulated subaqueously). 40-50 meters from top of Gamohaan Formation (described as being in upper part of formation); therefore, using as minimum age for the Gamohaan Formation and underlying units. "
ADP-GKP01,Africa,South Africa,Ghaap Group,Transvaal Supergroup,,Kuruman Iron Formation,TRUE,Kuruman Tuff,FALSE,FALSE,FALSE,,193,,2460,2.5,min,U-Pb SIMS,tuffaceous mudrock,Pickard (2003),N,FALSE,"Tuff from the upper Kuruman Formation (age interpreted as syn-depositional), which is directly above the Gamohaan Formation (top of section). "
BH1-Sacha,Africa,South Africa,Ghaap Group,Transvaal Supergroup,,Vryburg Formation,TRUE,Vryburg Tuff,FALSE,FALSE,FALSE,,3389,,2669,2.5,max,U-Pb SHRIMP,tuff zircons,Gutzmer and Beukes (1998),N,FALSE,The Vryburg Formation is at the base of Transvaal Supergroup (and directly below the Boomplaas Formation); dated sample was collected from 40 meters above the base of the Vryburg Formation. 
BH1-Sacha,Africa,South Africa,Ghaap Group,,,Lokammona Formation,FALSE,Lokammona Tuff,FALSE,FALSE,TRUE,,,,2650,4,depositional,U-Pb SHRIMP,tuff zircons,Gutzmer and Beukes (1998),N,FALSE,Depositional age for the Lokammona Formation; stratigraphic position of tuff with respect to samples within the Lokammona Formation is not constrained.
BH1-Sacha,Africa,South Africa,Ghaap Group,Transvaal Supergroup,,Monteville Formation,FALSE,Monteville Tuff,FALSE,FALSE,TRUE,,,,2602,7,max,U-Pb SHRIMP,tuff zircons,Gutzmer and Beukes (1998),N,FALSE,"Tuff in the Monteville Formation. Note that report acknowledges discrepancy with age for (likely) the same tuff layer from Altermann and Nelson (1998), which was reported as 2555 +/- 19 Ma. However, this age is not particularly reliable (calculated from 2 zircons; 14 zircons in sample grouped into 4 different age groups, with 2 older groups interpreted as inherited zircons and 1 younger group interpreted as Pb loss).

No analytical details available: ""Tuff TR-1, sampled just north of Goudkop High near Douglas, represents a tuff bed in
the Monteville Formation, at the base ofthe platform facies of the Campbellrand Subgroup. This tuff sample was processed and analysed by Dr. R. Armstrong. Unfortunately, no detailed petrographic or analytical data other than the final interpretation are available currently for this sample."""
BH1-Sacha,Africa,South Africa,Ghaap Group,Transvaal Supergroup,,Gamohaan Formation (Campbellrand Subgroup),TRUE,Gamohaan Tuff,FALSE,FALSE,FALSE,,328,,2521,1.5,depositional/min for Gamohaan and below,U-Pb ID-TIMS,tuff zircons,Sumner and Bowring (1996),N,FALSE,"Ash within the Gamohaan Formation. Dated sample is volcanic ash-rich zone (airfall tuffs that accumulated subaqueously). 40-50 meters from top of Gamohaan Formation (described as being in upper part of formation); therefore, using as minimum age for the Gamohaan Formation and underlying units. "
Boomplaas - Guo et al. (2009),Africa,South Africa,,Transvaal Supergroup,,Vryburg Formation,TRUE,Vryburg Tuff,FALSE,FALSE,FALSE,-1,,,2669,2.5,max,U-Pb SHRIMP,tuff zircons,Gutzmer and Beukes (1998),N,FALSE,The Vryburg Formation is at the base of Transvaal Supergroup (and directly below the Boomplaas Formation); dated sample was collected from 40 meters above the base of the Vryburg Formation. 
Boomplaas - Guo et al. (2009),Africa,South Africa,,Transvaal Supergroup,,Lokammona Formation,TRUE,Lokammona Tuff,FALSE,FALSE,FALSE,1,,,2650,4,min,U-Pb SHRIMP,tuff zircons,Gutzmer and Beukes (1998),N,FALSE,"Depositional age for the Lokammona Formation, which is directly above the Boomplaas Formation."
Campbellrand Subgroup Composite - Guo et al. 2009,Africa,South Africa,Ghaap Group,Transvaal Supergroup,,Lokammona Formation,TRUE,Lokammona Tuff,FALSE,FALSE,FALSE,0,,,2650,4,max,U-Pb SHRIMP,tuff zircons,Gutzmer and Beukes (1998),N,FALSE,"Depositional age for the Lokammona Formation, which is directly below the Monteville Formation."
Campbellrand Subgroup Composite - Guo et al. 2009,Africa,South Africa,Ghaap Group,Transvaal Supergroup,,Gamohaan Formation (Campbellrand Subgroup),TRUE,Gamohaan Tuff,FALSE,FALSE,FALSE,4,,,2521,1.5,depositional/min for Gamohaan and below,U-Pb ID-TIMS,tuff zircons,Sumner and Bowring (1996),N,FALSE,"Ash within the Gamohaan Formation. Dated sample is volcanic ash-rich zone (airfall tuffs that accumulated subaqueously). 40-50 meters from top of Gamohaan Formation (described as being in upper part of formation); therefore, using as minimum age for the Gamohaan Formation and underlying units. "
DeHoop Farm,Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Duitschland Formation (upper diamictite),TRUE,Duitschland - upper diamictite DZ (Senger et al. 2023),TRUE,FALSE,FALSE,850,,,2427,3.5,max,U-Pb SHRIMP,detrital zircons in upper diamictite,Senger et al. (2023); reinterpretation of data from Zeh et al. (2020) ,N,FALSE,"Youngest detrital zircon age in upper diamictite provides a maximum age for overlying samples. Reinterpretaion of data from Zeh et al. (2020), based on the observation that young zircons from the Transvaal Group show evidence of alteration and likely yield unreliable ages (see discussion in supplement of Millikin et al. 2024)."
DeHoop Farm,Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Rooihoogte Formation,TRUE,Rooihoogte-Timeball pyrite,FALSE,FALSE,FALSE,961,,,2316,3.5,min,Re-Os TIMS,syngenetic to early diagenetic pyrite,Hannah et al. (2004),N,FALSE,From boundary between the Rooihoogte Formation (which overlies the Duitschland Formation) and the overlying Timeball Hill formation clear. Dated material is interpreted as syngenetic to early diagenetic pyrite. 
Duitschland - Guo et al. (2009),Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Penge Iron Formation,TRUE,Penge Iron tuff,FALSE,FALSE,FALSE,38,,,2480,3,max,U-Pb SHRIMP,felsic tuff,Nelson et al. (1999); unpublished data from A.F. Trendall,N,FALSE,Felsic tuff in underlying Penge Formation.
Duitschland - Guo et al. (2009),Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Duitschland Formation (mid-Duitschland unconformity conglomerate),TRUE,mid-Duitschland unconformity conglomerate,FALSE,FALSE,FALSE,160,,,2443,16.5,depositional,Re-OS TIMS,conglomerate (matrix and clasts),Millikin et al. (2024),N,FALSE,Approximate stratigraphic position based on location of the mid-Duitschland unconformity in stratigraphic column in Figure 2 of Guo et al. (2009).  Millkin et al. (2024) reports that the dated conglomerate sample was collected approximately 15 meters above the MDU.
Duitschland - Guo et al. (2009),Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Rooihoogte Formation,TRUE,Rooihoogte-Timeball pyrite,FALSE,FALSE,FALSE,341,,,2316,3.5,min,Re-Os TIMS,syngenetic to early diagenetic pyrite,Hannah et al. (2004),N,FALSE,From boundary between the Rooihoogte Formation (which overlies the Duitschland Formation) and the overlying Timeball Hill formation clear. Dated material is interpreted as syngenetic to early diagenetic pyrite. 
Duitschland Farm,Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Penge Iron Formation,TRUE,Penge Iron tuff,FALSE,FALSE,FALSE,244,,,2480,3,max,U-Pb SIMS,felsic tuff,Nelson et al. (1999); unpublished data from A.F. Trendall,N,FALSE,Felsic tuff in underlying Penge Formation.
Duitschland Farm,Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Duitschland Formation (mid-Duitschland unconformity conglomerate),TRUE,mid-Duitschland unconformity conglomerate,FALSE,FALSE,FALSE,420,,,2443,16.5,depositional,Re-OS TIMS,conglomerate (matrix and clasts),Millikin et al. (2024),N,FALSE,Approximate stratigraphic position based on location of the mid-Duitschland unconformity in Bekker et al. (2001) stratigraphic column. Millkin et al. (2024) reports that the dated conglomerate sample was collected approximately 15 meters above the MDU.
Duitschland Farm,Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Duitschland Formation (upper diamictite),TRUE,Duitschland - upper diamictite DZ (Senger et al. 2023),TRUE,FALSE,FALSE,850,,,2427,3.5,max,U-Pb SHRIMP,detrital zircons in upper diamictite,Senger et al. (2023); reinterpretation of data from Zeh et al. (2020) ,N,FALSE,"Youngest detrital zircon age in upper diamictite provides a maximum age for overlying samples. Reinterpretaion of data from Zeh et al. (2020), based on the observation that young zircons from the Transvaal Group show evidence of alteration and likely yield unreliable ages (see discussion in supplement of Millikin et al. 2024)."
Duitschland Farm,Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Rooihoogte Formation,TRUE,Rooihoogte-Timeball pyrite,FALSE,FALSE,FALSE,951,,,2316,3.5,min,Re-Os TIMS,syngenetic to early diagenetic pyrite,Hannah et al. (2004),N,FALSE,From boundary between the Rooihoogte Formation (which overlies the Duitschland Formation) and the overlying Timeball Hill formation clear. Dated material is interpreted as syngenetic to early diagenetic pyrite. 
Duitschland-B,Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Penge Iron Formation,TRUE,Penge Iron tuff,FALSE,FALSE,FALSE,110,,,2480,3,max,U-Pb SHRIMP,felsic tuff,Nelson et al. (1999); unpublished data from A.F. Trendall,N,FALSE,Felsic tuff in underlying Penge Formation.
Duitschland-B,Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Duitschland Formation (mid-Duitschland unconformity conglomerate),TRUE,mid-Duitschland unconformity conglomerate,FALSE,FALSE,FALSE,121,,,2443,16.5,depositional,Re-OS TIMS,conglomerate (matrix and clasts),Millikin et al. (2024),N,FALSE,"Entire section is stratigraphically beneath the mid-Duitschland unconformity (MDU);  Millkin et al. (2024) reports that the dated conglomerate sample is located approximately 15 meters above the MDU, and interprets age as depositional. "
Duitschland-B,Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Rooihoogte Formation,TRUE,Rooihoogte-Timeball pyrite,FALSE,FALSE,FALSE,121,,,2316,3.5,min,Re-Os TIMS,syngenetic to early diagenetic pyrite,Hannah et al. (2004),N,FALSE,From boundary between the Rooihoogte Formation (which overlies the Duitschland Formation) and the overlying Timeball Hill formation clear. Dated material is interpreted as syngenetic to early diagenetic pyrite. 
Duitschland-C,Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Penge Iron Formation,TRUE,Penge Iron tuff,FALSE,FALSE,FALSE,43,,,2480,3,max,U-Pb SHRIMP,felsic tuff,Nelson et al. (1999); unpublished data from A.F. Trendall,N,FALSE,Felsic tuff in underlying Penge Formation.
Duitschland-C,Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Duitschland Formation (mid-Duitschland unconformity conglomerate),TRUE,mid-Duitschland unconformity conglomerate,FALSE,FALSE,FALSE,106,,,2443,16.5,depositional,Re-OS TIMS,conglomerate (matrix and clasts),Millikin et al. (2024),N,FALSE,"Entire section is stratigraphically beneath the mid-Duitschland unconformity (MDU);  Millkin et al. (2024) reports that the dated conglomerate sample is located approximately 15 meters above the MDU, and interprets age as depositional. "
Duitschland-D,Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Penge Iron Formation,TRUE,Penge Iron tuff,FALSE,FALSE,FALSE,69,,,2480,3,max,U-Pb SHRIMP,felsic tuff,Nelson et al. (1999); unpublished data from A.F. Trendall,N,FALSE,Felsic tuff in underlying Penge Formation.
Duitschland-D,Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Duitschland Formation (mid-Duitschland unconformity conglomerate),TRUE,mid-Duitschland unconformity conglomerate,FALSE,FALSE,FALSE,161,,,2443,16.5,depositional,Re-OS TIMS,conglomerate (matrix and clasts),Millikin et al. (2024),N,FALSE,"Entire section is stratigraphically beneath the mid-Duitschland unconformity (MDU);  Millkin et al. (2024) reports that the dated conglomerate sample is located approximately 15 meters above the MDU, and interprets age as depositional. "
Farm De Hoop - Frauenstein et al. (2009),Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Duitschland Formation (mid-Duitschland unconformity conglomerate),TRUE,mid-Duitschland unconformity conglomerate,FALSE,FALSE,FALSE,-1,,,2443,16.5,depositional,Re-OS TIMS,conglomerate (matrix and clasts),Millikin et al. (2024),N,FALSE,"Section is located entirely above the mid-Duitschland unconformity; Millkin et al. (2024) reports that the dated conglomerate sample is located approximately 15 meters above the MDU, providing a maximum age for the section. "
Farm De Hoop - Frauenstein et al. (2009),Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Rooihoogte Formation,TRUE,Rooihoogte-Timeball pyrite,FALSE,FALSE,FALSE,16,,,2316,3.5,min,Re-Os TIMS,syngenetic to early diagenetic pyrite,Hannah et al. (2004),N,FALSE,From boundary between the Rooihoogte Formation (which overlies the Duitschland Formation) and the overlying Timeball Hill formation clear. Dated material is interpreted as syngenetic to early diagenetic pyrite. 
Farm Sandridge,Africa,South Africa,Ghaap Group,Transvaal Supergroup,,Heynskop Formation,TRUE,Heynskop DZ,FALSE,FALSE,FALSE,-1,,,2451.5,1.25,max,U-Pb CA-ID-TIMS,detrital zircon,Senger et al. (2023),N,FALSE,"Detrital zircons from the Heynskop Formation, which is just below the Rooinekke Formation and above the Naragas Formation. Overlaps with weighted mean age from LA-ICP-MS analyses (2447 +/- 13 Ma, n = 4, MSWD = 0.92), and agrees stratigraphically with detrital zircon ages for other formations. "
Farm Sandridge,Africa,South Africa,Postmasburg Group,Transvaal Supergroup,,Ongeluk Formation and associated intrusives,TRUE,Ongeluk,FALSE,FALSE,FALSE,5,,,2426,1.5,min,U-Pb SIMS and ID-TIMS,badelleyite from dikes and sills associated with Ongeluk magmatism,Gumsley et al. (2017),N,FALSE,See summary of Rooineke age constraints in Schier et al. (2018) and Gumsley et al. (2017). Date is from the Ongeluk Lava; weighted mean age for this sample plus associated intrusives is 2425.5 +/- 2.6 Ma. 
Farm Taabosfontain,Africa,South Africa,Ghaap Group,Transvaal Supergroup,,Heynskop Formation,TRUE,Heynskop DZ,FALSE,FALSE,FALSE,-1,,,2451.5,1.25,max,U-Pb CA-ID-TIMS,detrital zircon,Senger et al. (2023),N,FALSE,"Detrital zircons from the Heynskop Formation, which is just below the Rooinekke Formation and above the Naragas Formation. Overlaps with weighted mean age from LA-ICP-MS analyses (2447 +/- 13 Ma, n = 4, MSWD = 0.92), and agrees stratigraphically with detrital zircon ages for other formations. "
Farm Taabosfontain,Africa,South Africa,Postmasburg Group,Transvaal Supergroup,,Ongeluk Formation and associated intrusives,TRUE,Ongeluk,FALSE,FALSE,FALSE,3,,,2426,1.5,min,U-Pb SIMS and ID-TIMS,badelleyite from dikes and sills associated with Ongeluk magmatism,Gumsley et al. (2017),N,FALSE,See summary of Rooineke age constraints in Schier et al. (2018) and Gumsley et al. (2017). Date is from the Ongeluk Lava; weighted mean age for this sample plus associated intrusives is 2425.5 +/- 2.6 Ma. 
Gamohaan Formation,Africa,South Africa,Ghaap Group,Transvaal Supergroup,,Monteville Formation,TRUE,Monteville Tuff,FALSE,FALSE,FALSE,127,,,2602,7,max,U-Pb SHRIMP,tuff zircons,Gutzmer and Beukes (1998),N,FALSE,"Tuff in the stratigraphically lower Monteville Formation. Note that report acknowledges discrepancy with age for (likely) the same tuff layer from Altermann and Nelson (1998), which was reported as 2555 +/- 19 Ma. However, this age is not particularly reliable (calculated from 2 zircons; 14 zircons in sample grouped into 4 different age groups, with 2 older groups interpreted as inherited zircons and 1 younger group interpreted as Pb loss).

No analytical details available: ""Tuff TR-1, sampled just north of Goudkop High near Douglas, represents a tuff bed in
the Monteville Formation, at the base ofthe platform facies of the Campbellrand Subgroup. This tuff sample was processed and analysed by Dr. R. Armstrong. Unfortunately, no detailed petrographic or analytical data other than the final interpretation are available currently for this sample."""
Gamohaan Formation,Africa,South Africa,Ghaap Group,Transvaal Supergroup,,Gamohaan Formation (Campbellrand Subgroup),TRUE,Gamohaan Tuff,FALSE,FALSE,FALSE,128,,,2521,1.5,depositional/min,U-Pb ID-TIMS,tuff zircons,Sumner and Bowring (1996),N,FALSE,"Ash within the Gamohaan Formation. Dated sample is volcanic ash-rich zone (airfall tuffs that accumulated subaqueously). 40-50 meters from top of Gamohaan Formation (described as being in upper part of formation); therefore, using as minimum age for section."
Hountenbeck Formation - Swart (1999),Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Magaliesburg Formation,TRUE,Magaliesburg DZ - Zeh et al. 2016,FALSE,FALSE,FALSE,-1,,,2080,3.5,max,U-Pb LA-ICP-MS,detrital zircons,"Zeh et al. (2016), Zeh et al. (2020)",N,FALSE,"Maximum age for the Magaliesburg Formation and overlying Houtenbek Formation; see discussion of robustness in Zeh et al. (2020). Younger than the detrital zircon maximum depostional age from Schröder et al. (2016) for the same formation, but 1) greater total number of zircons analyzed (20 concordant in Schröder et al. 2016 vs. 480 in Zeh et al. 2016), and 2) is a concordia age, as opposed to a single-grain age. Andersen et al. (2019a) puts forth the possibility of metamorphic overprinting, but inconclusive."
Hountenbeck Formation - Swart (1999),Africa,South Africa,Pretoria Group,Transvaal Supergroup,,"Rustenburg Layered Suite, Bushveld Complex",TRUE,RLS,FALSE,FALSE,FALSE,5,,,2054.89,0.185,min,U-Pb CA-ID-TIMS,zircons from intrusive mafic rocks,Zeh et al. (2015),N,FALSE,Intrudes the sedimentary rocks of the Traansvaal Supergroup. 
Houtenbek Formation - Guo et al. (2009),Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Magaliesburg Formation,TRUE,Magaliesburg DZ - Zeh et al. 2016,FALSE,FALSE,FALSE,-1,,,2080,3.5,max,U-Pb LA-ICP-MS,detrital zircons,"Zeh et al. (2016), Zeh et al. (2020)",N,FALSE,"Maximum age for the Magaliesburg Formation and overlying Houtenbek Formation; see discussion of robustness in Zeh et al. (2020). Younger than the detrital zircon maximum depostional age from Schröder et al. (2016) for the same formation, but 1) greater total number of zircons analyzed (20 concordant in Schröder et al. 2016 vs. 480 in Zeh et al. 2016), and 2) is a concordia age, as opposed to a single-grain age. Andersen et al. (2019a) puts forth the possibility of metamorphic overprinting, but inconclusive."
Houtenbek Formation - Guo et al. (2009),Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Rustenburg Layered Suite,TRUE,RLS,FALSE,FALSE,FALSE,1,,,2054.89,0.185,min,U-Pb CA-ID-TIMS,zircons from intrusive mafic rocks,Zeh et al. (2015),N,FALSE,Intrudes the sedimentary rocks of the Traansvaal Supergroup. 
Langbaken Farm,Africa,South Africa,Pretoria Group,Transvaal Supergroup,,Penge Iron Formation,TRUE,Penge Iron tuff,FALSE,FALSE,FALSE,284,,,2480,3,max,U-Pb SIMS,felsic tuff,Nelson et al. (1999),N,FALSE,Felsic tuff in underlying Penge Formation.
