Inversion priority level,section,continent,country,group,supergroup/association,basin,site,formation,member,latitude,longitude,d13c,d18o,d13c_org,d33S_CAS,d34S_CAS,d36S_CAS,Δ33S_CAS,Δ36S_CAS2,d33S_CRS,d34S_CRS,d36S_CRS,Δ33S_CRS,Δ36S_CRS,d98Mo,87Sr/86Sr,# samples (d13C),Downsample?,# samples after downsampling,Downsampling description,Stratigraphic order?,Stratigraphic position notes,Calculate sedimentation rate?,Sedimentation rate breaks,Sedimentation rate notes,Superposition dictionary entry (these sections must be older),Included in composite section?,References (isotope data),Notes
4,Duitschland-C,Africa,South Africa,Pretoria Group,Transvaal Supergroup,Transvaal,Farm Langbaken 340KS,Duitschland Formation,,-24.201503,29.630786,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,5,TRUE,,,TRUE,,TRUE,,,,FALSE,Warke (2016),"Excluding section because superposition with the Tongwane Formation is not enforce, and isotope profiles are similar to those from other sources. Note that stratigraphic column in Figure 6.3 of Warke (2016) indicates the entire Langbaken 340KS section is older than (stratigraphically beneath) the mid-Duitschland unconformity. "
4,Duitschland-D,Africa,South Africa,Pretoria Group,Transvaal Supergroup,Transvaal,Farm Langbaken 340KS,Duitschland Formation,,-24.201503,29.630786,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,11,TRUE,,,TRUE,,TRUE,,,,FALSE,Warke (2016),"Excluding section because superposition with the Tongwane Formation is not enforce, and isotope profiles are similar to those from other sources. Note that stratigraphic column in Figure 6.3 of Warke (2016) indicates the entire Langbaken 340KS section is older than (stratigraphically beneath) the mid-Duitschland unconformity. "
3,Farm De Hoop - Frauenstein et al. (2009),Africa,South Africa,Pretoria Group,Transvaal Supergroup,Transvaal,Farm De Hoop,Duitschland Formation,,-24.173611,29.169444,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,16,TRUE,,,TRUE,Order only; no heights. ,FALSE,,,,FALSE,Frauenstein et al. (2009),"Sample heights reflect superposition, not actual height in section (only order from base to top given). Sections follow the same stratigraphic profiles as the Bekker et al. (2001) composite section, but with higher sampling density. However, unable to combine with other Duitschland Formation sections to enforce within-formation superposition; also unsure if stratigraphic position of samples within each bed is correct. Only included bulk sediment data in the database, but multiple measurements were made on each sample. "
4,Hountenbeck Formation - Swart (1999),Africa,South Africa,Pretoria Group,Transvaal Supergroup,Transvaal,,Houtenbek Formation,,-25.51866,29.98057,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,4,TRUE,,,TRUE,Extracted from figures,FALSE,,,,TRUE,Swart (1999),"Sample heights reflect superposition, not actual height in section (only order from base to top extracted from figures). Must be younger than the Silverton Fomation. Location approximated from description in text and geologic map (mapped as Houtenbek Formation in Macrostrat). Included in the Silverton-Houtenbek Composite section."
4,Houtenbek Formation - Guo et al. (2009),Africa,South Africa,Pretoria Group,Transvaal Supergroup,Transvaal,Rietvalley Farm,Houtenbek Formation,,-25.704278,29.9615,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,N,N,1,FALSE,,,TRUE,,FALSE,,,,TRUE,Guo et al. (2009),Must be younger than the Silverton Formation. Included in Silverton-Houtenbek Composite - Guo et al. (2009) section.
4,Langbaken Farm,Africa,South Africa,Pretoria Group,Transvaal Supergroup,Transvaal,Langbaken Farm,Duitschland Formation,,-24.23917,29.71413,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,7,TRUE,,,TRUE,,TRUE,,,,TRUE,Bekker et al. (2001),Approximate location estimated from map. Included in the Tongwane-Duitshchland composite section using correlated heights from Bekker et al. (2001). 
4,Sahra,Africa,South Africa,Pretoria Group,Transvaal Supergroup,Transvaal,Sahra,Duitschland Formation,,-24.163889,29.147222,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,12,TRUE,,,TRUE,Order only; no heights. ,FALSE,,,,FALSE,Frauenstein et al. (2009),"Sample heights reflect superposition, not actual height in section (only order from base to top given). Exhibits large carbon isotope within individual beds (0 to 10 permil). Stratigraphic order of different samples within each bed is unclear; excluding section. "
4,Silverton Formation,Africa,South Africa,Pretoria Group,Transvaal Supergroup,Transvaal,,Silverton Formation,,-24.2811161,29.3987730,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,18,TRUE,,,TRUE,,TRUE,,,,TRUE,Bekker et al. (2008),Location extracted from map.  Included in Silverton-Houtenbek composite section.
3,Silverton Formation - Frauenstein et al. (2009),Africa,South Africa,Pretoria Group,Transvaal Supergroup,Transvaal,,Silverton Formation,,-25.225278,25.799167,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,40,TRUE,,,TRUE,Order only; no heights. ,FALSE,,,,FALSE,Frauenstein et al. (2009),"Sample heights reflect superposition, not actual height in section (only order from base to top given). Only bulk sediment carbon isotope measurements included in the database (excluded extra measurements for subsamples). Bekker et al. (2008) section is preferred since stratigraphic heights are not given."
4,Silverton Formation - Guo et al. (2009)+B41,Africa,South Africa,Pretoria Group,Transvaal Supergroup,Transvaal,Mogomane Hill,Silverton Formation,,-25.209833,25.775806,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N,N,5,TRUE,,,TRUE,,TRUE,,,,TRUE,Guo et al. (2009),Included in the Silverton-Houtenbek Composite - Guo et al. (2009) section.
1,Silverton-Houtenbek composite,Africa,South Africa,Pretoria Group,Transvaal Supergroup,Transvaal,,"Silverton Formation, Houtenbek Formation",,-24.2811161,29.3987730,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,21,TRUE,9,,TRUE,,TRUE,50,Only calculate sedimentation rate within the Silverton Formation (below 50 meters),,FALSE,Bekker et al. (2008); Swart (1999),"Stacked sections for the Silverton Formation (Bekker et al. 2008) and the Houtenbek Formation (Swart 1999) to enforce superposition. Sedimentation rate should only be calculated within the Silverton Formation; height between formations is nominal, and heights within the Houtenbek Formation only reflect superposition (order given, but actual heights were not). Using coordinates for the Silverton Formation section. "
3,Silverton-Houtenbek composite - Guo et al. (2009),Africa,South Africa,Pretoria Group,Transvaal Supergroup,Transvaal,,"Silverton Formation, Houtenbek Formation",,-25.209833,25.775806,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N,N,6,TRUE,,,TRUE,,TRUE,15,,,FALSE,Guo et al. (2009),Stacked Guo et al. (2009) sections for the Silverton and Houtenbek Formation to enforce superpostion; stratigraphic thickness between formations is nominal. Using location for Silverton Formation samples. Use if incorporating sulfur isotope data; ensure that superposition with the other Silverton-Houtenbek composite section is enforced.  
4,Tongwane - Warke et al. (2018),Africa,South Africa,Chuniespoort Group,Transvaal Supergroup,Transvaal,Tongwane Gorge,Tongwane Formation,,-24.178778,29.931083,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,15,TRUE,,,TRUE,,TRUE,,,,TRUE,Warke et al. (2018),"Location from Guo et al. (2009). Most samples interpreted as diagenetically altered (excluding from inference; very negative d13C values), and the formation is only locally preserved below the Penge-Duitschland unconformity; however, provides a window into pre-LJE conditions in the Transvaal basin. Included in Tongwane-Duitschland composite section. "
4,Tongwane Formation - Guo et al. (2009),Africa,South Africa,Chuniespoort Group,Transvaal Supergroup,Transvaal,Tongwane Gorge,Tongwane Formation,,-24.178778,29.931083,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,N,N,1,FALSE,,,TRUE,,FALSE,,,,TRUE,Guo et al. (2009),Use if incorporating sulfur isotope data. Location from Guo et al. (2009). Included in Tonwane-Duitschland Composite - Guo et al. (2009) section. 
1,Tongwane-Duitschland composite,Africa,South Africa,Pretoria Group,Transvaal Supergroup,Transvaal,"Duitschland Farm, De Hoop Farm, Langbaken Farm","Duitschland Formation, Tongwane Formation",,-24.2916667,29.1291667,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,38,TRUE,16,,TRUE,,TRUE,240,,,FALSE,"Bekker et al. (2001), Warke et al. (2018)","Composite section for the Tongwane Formation (Warke et al. 2018, excluding diagenetically altered samples) and Duitschland Formation (Bekker et al. 2001). Duitschland Formation samples include data from the Duitschland, De Hoop, and Langbaken Farm sections. For Duitschland Farm, heights are given in meters from base of formation; heights for the De Hoop and Langbaken Farms are correlative (estimated). Using stacked version to 1) capture internal stratigraphy within the Duitschland Formation/ensure that superposition between members is respected, and 2) enforce superposition with the older Tongwane Formation. Sedimentation rate should only be calculated within each formation; height between the Tongwane and Duitschland Formations is nominal. Using location for Duitschland Farm. "
3,Tongwane-Duitschland composite - Guo et al. (2009),Africa,South Africa,Pretoria Group,Transvaal Supergroup,Transvaal,"Farm Duitschland, Tongwane Gorge",,,-24.295556,29.136139,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N,N,10,TRUE,,,TRUE,,TRUE,2,,,FALSE,Guo et al. (2009),Include if incorporating sulfur isotope data; ensure that superposition with the other Tongwane-Duitschland composite section is enforced. Location is for the Duitschland Formation samples. 
3,ADP-GKF01,Africa,South Africa,Ghaap Group,Transvaal Supergroup (Griqualand West),Griqualand West,,Campbellrand Subgroup,,-28.97456,23.47059,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,206,TRUE,,,TRUE,Extracted from figures,TRUE,,,,FALSE,Fischer et al. (2009),Data extracted from figures. Location extracted from map in Sumner et al. (2006). Upper slope depositional environment.
3,ADP-GKP01,Africa,South Africa,Ghaap Group,Transvaal Supergroup (Griqualand West),Griqualand West,,Campbellrand Subgroup,,-29.14677,23.38655,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,204,TRUE,,,TRUE,Extracted from figures,TRUE,,,,FALSE,Fischer et al. (2009),Data extracted from figures.  Location extracted from map in Sumner et al. (2006). Lower slope depositional environment. 
1,BH1-Sacha,Africa,South Africa,Ghaap Group,Transvaal Supergroup (Griqualand West),Griqualand West,,Campbellrand Subgroup,,-27.76151,22.87383,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,131,TRUE,38,,TRUE,Extracted from figures,TRUE,,,,FALSE,Fischer et al. (2009),Data extracted from figures. Location extracted from map in Altermann and Siegfried (1997). Shallow water platform depositional environment. 
3,Boomplaas - Guo et al. (2009),Africa,South Africa,Ghaap Group,Transvaal Supergroup (Griqualand West),Griqualand West,Ulco-Schmitsdrif road,Boomplaas Formation,,-28.65975,24.028917,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,N,N,1,FALSE,,,TRUE,,FALSE,,,,FALSE,Guo et al. (2009),
3,Campbellrand Subgroup Composite - Guo et al. 2009,Africa,South Africa,Ghaap Group,Transvaal Supergroup (Griqualand West),Griqualand West,,"Monteville Formation, Reivilo Formation, Gamohaan Formation (Campbellrand Subgroup)",,-28.597417,23.967,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,N,N,3,TRUE,,,TRUE,Order only; heights from different formations are not in the same stratigraphic framework,FALSE,,,,FALSE,Guo et al. (2009),"Stacked samples from the Monteville, Reivilo, and Gamohaan Formations to enforce superposition (required to include the Reivilo Formation); location is for the Monteville Formation. Only use if incorporating sulfur isotope data; otherwise, the Fischer et al. (2009) cores provide higher-resolution carbon isotope data. "
1,Farm Sandridge,Africa,South Africa,Ghaap Group,Transvaal Supergroup (Griqualand West),Griqualand West,Farm Sandridge,Rooinekke Formation,,-28.823611,22.656111,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,5,TRUE,3,,TRUE,Order only; no heights. ,FALSE,,,,FALSE,Frauenstein et al. (2009),"Sample heights reflect superposition, not actual height in section (only order from base to top given). Only bulk sediment carbon isotope measurements included in the database (excluded extra measurements for individual sub-components). "
1,Farm Taabosfontain,Africa,South Africa,Ghaap Group,Transvaal Supergroup (Griqualand West),Griqualand West,Farm Taabosfontain,Rooinekke Formation,,-28.850833,23.1325,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,3,TRUE,3,,TRUE,Order only; no heights. ,FALSE,,,,FALSE,Frauenstein et al. (2009),"Sample heights reflect superposition, not actual height in section (only order from base to top given). Only bulk sediment carbon isotope measurements included in the database (excluded extra measurements for individual sub-components). "
4,Gamohaan Formation,Africa,South Africa,Ghaap Group,Transvaal Supergroup (Griqualand West),Griqualand West,Farm Gladstone,Gamohaan Formation,,-28.101583,23.57925,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,N,N,1,FALSE,,,TRUE,,FALSE,,,,TRUE,Guo et al. (2009),Included in the Campbellrand Subgroup Composite section. 
4,Lucknow,Africa,South Africa,Postmasburg Group,Transvaal Supergroup (Griqualand West),Griqualand West,,Lucknow Formation,,-27.89264,22.79857,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,7,TRUE,,,TRUE,,TRUE,,,,TRUE,Schroder et al. (2008),"Stratigraphic position of samples extracted from figure; approximate location extracted from map. Note: if this section is included in the inference (rather than the Postmasburg Composite section), must use one of the detrital zircon maximum age constraints; otherwise, superposition with the Mooidraai Formation will not be enforced."
4,Lucknow - Guo et al. (2009),Africa,South Africa,Postmasburg Group,Transvaal Supergroup (Griqualand West),Griqualand West,Farm Venn,Lucknow Formation,,-28.07275,22.809583,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,3,TRUE,,,TRUE,,TRUE,,,,TRUE,Guo et al. (2009),"Note: if this section is included in the inference (rather than the Postmasburg Composite section), must use one of the detrital zircon maximum age constraints; otherwise, superposition with the Mooidraai Formation will not be enforced."
4,Monteville Formation,Africa,South Africa,Ghaap Group,Transvaal Supergroup (Griqualand West),Griqualand West,Farm Monteville,Monteville Formation,,-28.597417,23.967,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,N,N,1,FALSE,,,TRUE,,FALSE,,,,TRUE,Guo et al. (2009),Included in Campbellrand Subgroup Composite section. 
4,Mooidraai Formation,Africa,South Africa,Postmasburg Group,Transvaal Supergroup (Griqualand West),Griqualand West,TG2 core,Mooidraai Formation,,-27.34518,23.00611,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,8,TRUE,,,TRUE,,TRUE,,,,TRUE,Swart (1999),Location extracted from map. Included in Postmasbug Group composite section to enforce superposition with the stratigraphically higher Lucknow Formation. 
4,Mooidraai Formation - Guo et al. (2009),Africa,South Africa,Postmasburg Group,Transvaal Supergroup (Griqualand West),Griqualand West,"Core M10, Farm Middelplaats",Mooidraai Formation,,-26.9951,22.89125,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,N,N,5,TRUE,,,TRUE,,TRUE,,,,TRUE,Guo et al. (2009),Location extracted from map. Included in Postmasburg Group Composite - Guo et al. 2009 section to enforce superposition with the stratigraphically higher Lucknow Formation.
1,Postmasburg Group Composite,Africa,South Africa,Postmasburg Group,Transvaal Supergroup (Griqualand West),Griqualand West,,"Mooidraai Formation, Lucknow Formation",,-27.89264,22.79857,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,15,TRUE,6,,TRUE,Order only; heights from different formations are not in the same stratigraphic framework,TRUE,165,,,FALSE,Schroder et al. (2008); Swart (1999),Composite Postmasburg Group section using Mooidraai Formation data from Swart (1999) and Lucknow Formation data from Schroder et al. (2008). 
3,Postmasburg Group Composite - Guo et al. 2009,Africa,South Africa,Postmasburg Group,Transvaal Supergroup (Griqualand West),Griqualand West,,"Mooidraai Formation, Lucknow Formation",,-28.07275,22.809583,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N,N,8,TRUE,,,TRUE,Order only; heights from different formations are not in the same stratigraphic framework,TRUE,72,,,FALSE,Guo et al. (2009),Alternative composite Postmasburg Group section using Guo et al. (2009) data; use if incorporating sulfur isotope data.
4,Reivilo Formation,Africa,South Africa,Ghaap Group,Transvaal Supergroup (Griqualand West),Griqualand West,Reivilo Farm,Reivilo Formation,,-28.588028,23.960528,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,N,N,1,FALSE,,,TRUE,,FALSE,,,,TRUE,Guo et al. (2009),Using location for Lucknow Formation from Guo et al. (2009). Included in Campbellrand Subgroup Composite - Guo et al. 2009 section. 
1,Mcheka,Africa,Zimbabwe,Lomagundi Group,Magondi Supergroup,,,Mcheka Formation,,-17.2904930,29.9028777,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,61,TRUE,4,,TRUE,,TRUE,,,,FALSE,Planavsky et al. (2012),"Stratigraphic position and d13C values both extracted from a figure (no stratigraphic heights provided in data table, and unable to confidently match data points extracted from figure to individual samples). See Sawada et al. (2019) for description of the regional stratigraphy and age constraints. "
1,Hutuo Supergroup - Kong et al. (2011),Asia,China,"Wutai Group, Doucun Group, Dongye Group",Hutuo Supergroup,,Wutai Mountain area,"Baizhiyan Formation, Dashiling Formation, Wenshan Formation, Hebiancun Formation, Jian'ancun Formation, Daguandong Formation, Huaiyincun Formation, Beidaxing Formation, Tianpengnao Formation",,38.7,113.2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,205,TRUE,33,,TRUE,,TRUE,,,,FALSE,Kong et al. (2011),"The Wutai group is unconformably overlain by the Hutuo Supergroup (Wutai Group should be older), although Kung et al. (2011) notes that the Wutai and Hutuo Groups interfinger in some areas (ref. Polat et al. 2005). Assigning to a higher priority level than She et al. (2016) since carbon isotope stratigraphy is similar, and Kong et al. (2011) also includes data from the Wutai Group (although note that these samples have low oxygen isotope values consistent with diagenetic alteration) and the Tianpengnao Formation. "
3,Hutuo Supergroup - She et al. (2016),Asia,China,"Doucun Group, Dongye Group",Hutuo Supergroup,,Wutai Mountain area,"Dashiling Formation, Qingshicun Formation, Wenshan Formation, Hebiancun Formation, Daguandong Formation, Huaiyincun Formation, Beidaxing Formation",,38.656136,113.125506,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,185,TRUE,,,TRUE,,TRUE,,Sedimentation rate calculations should exclude Ouyang et al. 2020 samples,,FALSE,"She et al. (2016), Ouyang et al. (2020)","Merged high-resolution measurements for the Huaiyincun Formation from Ouyang et al. (2020) with the She et al. (2016) section using heights of 10 duplicate samples. Offsets between heights are inconsistent; while relative positions are correct, sedimentation rates should not be calculated for the Ouyang et al. (2020) samples. Using coordinates for the Huaiyuncon Formation section measured by Ouyang et al. 2020. (near Dongye); other locations are in the same general area (see Figure 1 in She et al. 2016). Assigning section to low priority level since there is some uncertainty in stratigraphic position of samples, and the carbon isotope profile is similar to Kong et al. (2011) (which also includes data from the Wutai Group and Tianpengnao Formation). Use this section to incorporate sulfur isotope and organic carbon isotope data for the Huaiyincun formation (Ouyang et al. 2020). "
3,Hutuo Supergroup - Zhong and Ma (1997),Asia,China,"Doucun Group, Dongye Group",Hutuo Supergroup,,Wutai Mountain area,"Dashiling Formation, Wenshan Formation, Hebiancun Formation, Jianancun Formation, Daguandong Formation, Huaiyincun Formation, Beidaxing Formation",,38.7,113.2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,484,TRUE,,,TRUE,Order only; no heights. ,FALSE,,,,FALSE,Zhong and Ma (1997),"Sample heights reflect superposition, not actual height in section (only order from base to top given). More data-dense than the Kong et al. (2011) and She et al. (2016) sections through the same succession, but assigning to a lower priority level since stratigraphic heights not provided."
3,Dashiqiao Formation,Asia,China,Liaohe Group,North China Craton,Jiao-Liao-Ji Belt,Qingshanhuai area,Dashiqiao Formation,,40.647467,122.592567,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,14,TRUE,,,TRUE,,TRUE,,,,FALSE,Tang et al. (2013b),Location is for base of section.
3,Guanmenshan Formation,Asia,China,Fanhe Group,North China Craton,Fanhe Basin,,Guanmenshan Formation,,42.23225,124.235783,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,42,TRUE,,,TRUE,,TRUE,,,,FALSE,Tang et al. (2011),"Using location of section start (near Lidigou village). From the Liaobei terrane; the Dashiquiao Formation is from the same group in a different terrane  (northern Liaoning area); thus, no superposition relationship needs to be enforced. "
